Locality,MinPrice,MaxPrice,AvgRent,HouseType
Narayanapura on Hennur Main Road,10000,nan,"10,000",1BHK
Narayanapura on Hennur Main Road,15000,"35,000","24,284.48",2BHK
Narayanapura on Hennur Main Road,18500,"50,000","30,867.92",3BHK
Chamrajpet,6000,nan,"6,000",1BHK
Chamrajpet,14000,nan,"14,000",2BHK
Chamrajpet,18000,nan,"18,000",3BHK
Vidyaranyapura,3500,"16,000","7,333.33",1BHK
Vidyaranyapura,6200,"16,000","10,980",2BHK
Vidyaranyapura,16000,"27,000","19,666.67",3BHK
Battarahalli,4500,"11,000","7,35.71",1BHK
Battarahalli,6000,"18,000","12,954.55",2BHK
Battarahalli,18000,"35,000","22,142.86",3BHK
Jayanagar,5000,"13,000","8,275",1BHK
Jayanagar,12000,"32,000","20,119.05",2BHK
Jayanagar,20000,"27,000","23,000",3BHK
CV Raman Nagar,5000,"16,000","10,619.05",1BHK
CV Raman Nagar,10000,"20,000","15,400",2BHK
CV Raman Nagar,20000,nan,"20,000",3BHK
Bommanahalli,4450,"13,500","9,807.64",1BHK
Bommanahalli,8500,"20,000","15,219.04",2BHK
Bommanahalli,32900,nan,"32,900",3BHK
Talaghattapura,7000,nan,"7,000",1BHK
Talaghattapura,9500,"13,000","11,250",2BHK
Talaghattapura,18000,"20,000","19,000",3BHK
Sarjapur Road Post Railway Crossing,18500,"32,000","24,125",1BHK
Sarjapur Road Post Railway Crossing,11000,nan,"11,000",2BHK
Sarjapur Road Post Railway Crossing,50000,"75,000","62,500",3BHK
Kannur on Thanisandra Main Road,8500,nan,"8,500",1BHK
Kannur on Thanisandra Main Road,13100,"35,000","22,50.98",2BHK
Kannur on Thanisandra Main Road,17000,1.2 L,"33,947.54",3BHK
Kumbalgodu,7000,nan,"7,000",1BHK
Kumbalgodu,8 L,nan,"8,00,000",2BHK
Kumbalgodu,13000,"35,000","19,575",3BHK
Hennur,4000,"13,600","10,215.38",1BHK
Hennur,10000,"25,000","14,040",2BHK
Hennur,16000,"27,000","21,000",3BHK
Kasavanahalli,4000,"19,000","14,296.3",1BHK
Kasavanahalli,13500,"21,500","17,557.14",2BHK
Kasavanahalli,30000,"33,500","31,750",3BHK
Kalyan Nagar,4000,"15,000","8,866.67",1BHK
Kalyan Nagar,14000,"25,000","19,288.46",2BHK
