Locality,MinPrice,MaxPrice,AvgRent,HouseType
Sarjapur main road,nan,nan,-,3BHK
KR Puram Old Madras Road,nan,nan,-,1BHK
KR Puram Old Madras Road,13000,18000,16333.33,2BHK
KR Puram Old Madras Road,nan,nan,-,3BHK
Cooke Town,10000,nan,10000,1BHK
Cooke Town,12000,24000,18000,2BHK
Cooke Town,25000,nan,25000,3BHK
Jogupalya,8000,16000,11333.33,1BHK
Jogupalya,9000,25000,17222.22,2BHK
Jogupalya,60000,nan,60000,3BHK
R T  Nagar,6000,11000,8144.33,1BHK
R T  Nagar,11000,19000,15312.5,2BHK
R T  Nagar,26000,30000,28000,3BHK
Mathikere,5500,12500,8590.91,1BHK
Mathikere,8000,20000,13155.56,2BHK
Mathikere,18000,28000,23000,3BHK
Rayasandra,4500,9500,7000,1BHK
Rayasandra,5000,16000,10555.56,2BHK
Rayasandra,12500,nan,12500,3BHK
Kadugodi Industrial Area,4500,10500,6916.67,1BHK
Kadugodi Industrial Area,8000,12000,8666.67,2BHK
Kadugodi Industrial Area,16000,22000,19000,3BHK
seegehalli,nan,nan,-,1BHK
seegehalli,12000,nan,12000,2BHK
seegehalli,25000,nan,25000,3BHK
Doddathoguru,5000,11000,7833.33,1BHK
Doddathoguru,13000,16000,14166.67,2BHK
Doddathoguru,nan,nan,-,3BHK
Jyothi Nagar,6000,nan,6000,1BHK
Jyothi Nagar,7500,13000,9250,2BHK
Jyothi Nagar,nan,nan,-,3BHK
Suryanagar Phase I,nan,nan,-,1BHK
Suryanagar Phase I,nan,nan,-,2BHK
Suryanagar Phase I,nan,nan,-,3BHK
Kudlu Gate,7500,16000,12833.33,1BHK
Kudlu Gate,9500,12000,11166.67,2BHK
Kudlu Gate,25000,nan,25000,3BHK
Yelachanayakanapura,5000,6500,5500,1BHK
Yelachanayakanapura,nan,nan,-,2BHK
Yelachanayakanapura,nan,nan,-,3BHK
RMV,nan,nan,-,1BHK
RMV,14000,35000,24000,2BHK
RMV,55000,1.3 L,94285.71,3BHK
Lal Bahadur Shastri Nagar,5000,6000,5500,1BHK
Lal Bahadur Shastri Nagar,15000,nan,15000,2BHK
Lal Bahadur Shastri Nagar,nan,nan,-,3BHK
Devarachikkana Halli,4350,11500,8416.67,1BHK
Devarachikkana Halli,11000,17000,14333.33,2BHK
Devarachikkana Halli,26000,nan,26000,3BHK
Maruthi Sevanagar,7000,15000,10200,1BHK
Maruthi Sevanagar,9000,17500,14180,2BHK
Maruthi Sevanagar,15000,25000,17000,3BHK
RMV Extension Stage 2,7000,16000,10833.33,1BHK
RMV Extension Stage 2,20000,nan,20000,2BHK
RMV Extension Stage 2,20000,65000,42000,3BHK
Sanjaynagar,8500,nan,8500,1BHK
Sanjaynagar,20000,23000,21500,2BHK
Sanjaynagar,30000,1 L,47703.7,3BHK
