Locality,MinPrice,MaxPrice,AvgRent,HouseType
Uttarahalli Main Road,nan,nan,-,3BHK
Murugesh Palya,7000,8000,7500,1BHK
Murugesh Palya,16000,nan,16000,2BHK
Murugesh Palya,28000,50000,36666.67,3BHK
Padmanabha Nagar,6500,nan,6500,1BHK
Padmanabha Nagar,20000,nan,20000,2BHK
Padmanabha Nagar,20000,nan,20000,3BHK
Attibele Industrial Area,4000,nan,4000,1BHK
Attibele Industrial Area,nan,nan,-,2BHK
Attibele Industrial Area,nan,nan,-,3BHK
Bagalur Main Road,nan,nan,-,1BHK
Bagalur Main Road,nan,nan,-,2BHK
Bagalur Main Road,nan,nan,-,3BHK
Devannahalli,nan,nan,-,1BHK
Devannahalli,12000,nan,12000,2BHK
Devannahalli,18000,nan,18000,3BHK
Koodusiddanapalya,nan,nan,-,1BHK
Koodusiddanapalya,nan,nan,-,2BHK
Koodusiddanapalya,nan,nan,-,3BHK
Mullur,7500,8500,8000,1BHK
Mullur,10000,13000,11333.33,2BHK
Mullur,20000,nan,20000,3BHK
Muneshwara Nagar,4500,12500,8620,1BHK
Muneshwara Nagar,13500,17000,15250,2BHK
Muneshwara Nagar,nan,nan,-,3BHK
Srirampuram,9000,nan,9000,1BHK
Srirampuram,11000,21000,16000,2BHK
Srirampuram,29000,nan,29000,3BHK
Magadi,4000,nan,4000,1BHK
Magadi,45000,nan,45000,2BHK
Magadi,nan,nan,-,3BHK
Arasinakunte,6000,nan,6000,1BHK
Arasinakunte,nan,nan,-,2BHK
Arasinakunte,10000,nan,10000,3BHK
Banashankari 6th Stage 6th Block,nan,nan,-,1BHK
Banashankari 6th Stage 6th Block,16000,nan,16000,2BHK
Banashankari 6th Stage 6th Block,nan,nan,-,3BHK
Dwarka Nagar,3500,7500,5500,1BHK
Dwarka Nagar,10000,nan,10000,2BHK
Dwarka Nagar,16000,nan,16000,3BHK
Hanumanthanagar Bangalore,9000,11000,10000,1BHK
Hanumanthanagar Bangalore,20000,nan,20000,2BHK
Hanumanthanagar Bangalore,30000,nan,30000,3BHK
Manchapanahalli,nan,nan,-,1BHK
Manchapanahalli,nan,nan,-,2BHK
Manchapanahalli,nan,nan,-,3BHK
Mangammanapalya,4500,17000,12500,1BHK
Mangammanapalya,8000,25000,18633.33,2BHK
Mangammanapalya,nan,nan,-,3BHK
Jalahalli West,5750,7500,6562.5,1BHK
Jalahalli West,8000,12000,10000,2BHK
Jalahalli West,15000,nan,15000,3BHK
Chikka Tirupathi,nan,nan,-,1BHK
Chikka Tirupathi,nan,nan,-,2BHK
Chikka Tirupathi,nan,nan,-,3BHK
Chikkajala,nan,nan,-,1BHK
Chikkajala,nan,nan,-,2BHK
Chikkajala,nan,nan,-,3BHK
