Locality,MinPrice,MaxPrice,AvgRent,HouseType
HSR Layout,5000,19300,12647.22,1BHK
HSR Layout,12000,40000,20455.28,2BHK
HSR Layout,18000,85000,4283.33,3BHK
Whitefield,4500,20000,1076.46,1BHK
Whitefield,7500,50000,18433.77,2BHK
Whitefield,20000,29800,2566.67,3BHK
Krishnarajapura,3000,10900,7466.96,1BHK
Krishnarajapura,5200,4.5 L,17666.71,2BHK
Krishnarajapura,12000,34400,21350,3BHK
Sarjapur,5000,nan,5000,1BHK
Sarjapur,10500,12000,11250,2BHK
Sarjapur,16500,nan,16500,3BHK
Whitefield Hope Farm Junction,11000,12000,11375,1BHK
Whitefield Hope Farm Junction,7000,nan,7000,2BHK
Whitefield Hope Farm Junction,38000,nan,38000,3BHK
Begur,3000,12950,8409.38,1BHK
Begur,7000,17000,12300,2BHK
Begur,19000,25000,21692.5,3BHK
Thanisandra,5500,13600,9933.33,1BHK
Thanisandra,8000,16000,12571.43,2BHK
Thanisandra,17000,24700,19425,3BHK
Yelahanka,5000,10000,7412.5,1BHK
Yelahanka,8500,20000,11642.86,2BHK
Yelahanka,20000,25000,22500,3BHK
Varthur,3500,13000,7528.57,1BHK
Varthur,7500,20000,11464.58,2BHK
Varthur,20000,26250,23666.67,3BHK
Electronic City Phase 1,8500,9000,8750,1BHK
Electronic City Phase 1,22000,nan,22000,2BHK
Electronic City Phase 1,43000,50000,46500,3BHK
Electronics City,4000,12100,8710.17,1BHK
Electronics City,8100,19000,12135.29,2BHK
Electronics City,16000,37000,27560,3BHK
Devanahalli,6999,nan,6999,1BHK
Devanahalli,30000,nan,30000,2BHK
Devanahalli,30000,nan,30000,3BHK
Marsur,7500,nan,7500,1BHK
Marsur,9000,10000,9500,2BHK
Marsur,20000,nan,20000,3BHK
BTM Layout,4000,17000,9669.28,1BHK
BTM Layout,8000,30000,15974.1,2BHK
BTM Layout,19000,37000,28000,3BHK
Chandapura,4500,7300,6060,1BHK
Chandapura,7000,12000,9166.67,2BHK
Chandapura,16000,nan,16000,3BHK
Koramangala,3500,25000,11340,1BHK
Koramangala,12000,50000,22283.33,2BHK
Koramangala,23000,1.5 L,61800,3BHK
Bellandur,7000,18000,11407.69,1BHK
Bellandur,10500,30000,21685.71,2BHK
Bellandur,1 L,nan,100000,3BHK
Marathahalli,5000,15500,8961.54,1BHK
Marathahalli,8000,25200,15920,2BHK
Marathahalli,12000,30000,24250,3BHK
Indira Nagar,6000,22000,12704.23,1BHK
Indira Nagar,12000,45000,21185.76,2BHK
Indira Nagar,24000,75000,44529.41,3BHK
Chandapura Anekal Road,nan,nan,-,1BHK
Chandapura Anekal Road,11000,nan,11000,2BHK
Chandapura Anekal Road,nan,nan,-,3BHK
J. P. Nagar,3300,20000,9482.02,1BHK
J. P. Nagar,9000,29000,16971.28,2BHK
J. P. Nagar,14000,54000,28481.48,3BHK
Subramanyapura,3500,12000,7361.11,1BHK
Subramanyapura,10000,16500,12875,2BHK
Subramanyapura,15000,23000,19000,3BHK
Mahadevapura,4500,17500,10478.81,1BHK
Mahadevapura,8500,26400,16540.91,2BHK
Mahadevapura,45000,nan,45000,3BHK
Electronic City Phase 2,8500,nan,8500,1BHK
