Locality,MinPrice,MaxPrice,AvgRent,HouseType
Dasarahalli on Tumkur Road,6000,nan,6000,1BHK
Dasarahalli on Tumkur Road,5500,nan,5500,2BHK
Dasarahalli on Tumkur Road,22500,45000,26611.11,3BHK
Kaggadasapura,5000,14000,8278.22,1BHK
Kaggadasapura,10000,29000,16203.21,2BHK
Kaggadasapura,17500,nan,17500,3BHK
JP Nagar Phase 7,8000,10000,9000,1BHK
JP Nagar Phase 7,13000,18500,16100,2BHK
JP Nagar Phase 7,16000,45000,34520.63,3BHK
Jalahalli,6300,nan,6300,1BHK
Jalahalli,10000,13000,11000,2BHK
Jalahalli,27000,nan,27000,3BHK
Vijayanagar,4500,13000,876.32,1BHK
Vijayanagar,8750,30000,16410.71,2BHK
Vijayanagar,5200,50000,26450,3BHK
Hoskote,5800,6500,6150,1BHK
Hoskote,10000,nan,10000,2BHK
Hoskote,10000,21000,15333.33,3BHK
Bommanahalli,6000,13500,8718.75,1BHK
Bommanahalli,8500,20000,14916.67,2BHK
Bommanahalli,20000,22000,21000,3BHK
Kodigehalli,9000,11000,10000,1BHK
Kodigehalli,12000,nan,12000,2BHK
Kodigehalli,30000,nan,30000,3BHK
Chikkanayakanahalli at Off Sarjapur,17000,nan,17000,1BHK
Chikkanayakanahalli at Off Sarjapur,10000,70000,24111.11,2BHK
Chikkanayakanahalli at Off Sarjapur,22000,35000,2633.33,3BHK
Yeshwantpur,3500,40000,9454.55,1BHK
Yeshwantpur,11000,20000,15500,2BHK
Yeshwantpur,18000,50000,34400,3BHK
Kengeri,4000,8000,5500,1BHK
Kengeri,7300,nan,7300,2BHK
Kengeri,12500,30000,19964.29,3BHK
Vinayakanagar,nan,nan,-,1BHK
Vinayakanagar,6500,nan,6500,2BHK
Vinayakanagar,15000,nan,15000,3BHK
Hulimavu,6000,27000,1062.5,1BHK
Hulimavu,11000,22000,16928.57,2BHK
Hulimavu,17000,24000,20333.33,3BHK
Konanakunte,4000,9000,6575,1BHK
Konanakunte,10000,18000,13775,2BHK
Konanakunte,35000,nan,35000,3BHK
Sarjapur Road Wipro To Railway Crossing,13500,23000,18833.33,1BHK
Sarjapur Road Wipro To Railway Crossing,23000,nan,23000,2BHK
Sarjapur Road Wipro To Railway Crossing,20000,45000,30867.65,3BHK
Kadugodi,3000,11000,7470.77,1BHK
Kadugodi,10120,12500,11540,2BHK
Kadugodi,13500,50000,27800,3BHK
Kengeri Satellite Town,3000,8000,5270.83,1BHK
Kengeri Satellite Town,7000,15000,10722.22,2BHK
Kengeri Satellite Town,13000,22000,13613.64,3BHK
New Thippasandra,6000,20000,14682.93,1BHK
New Thippasandra,10000,26000,17794.12,2BHK
New Thippasandra,28000,nan,28000,3BHK
Kogilu,7000,8500,7750,1BHK
Kogilu,10500,16000,13833.33,2BHK
Kogilu,15500,35000,25166.67,3BHK
Kuvempu Layout on Hennur Main Road,nan,nan,-,1BHK
Kuvempu Layout on Hennur Main Road,16000,nan,16000,2BHK
Kuvempu Layout on Hennur Main Road,22000,48000,29125,3BHK
Kasturi Nagar,4499,12750,9621.29,1BHK
Kasturi Nagar,11000,24000,18235.29,2BHK
Kasturi Nagar,20000,65000,33142.86,3BHK
Singasandra,5300,15000,9514.29,1BHK
Singasandra,12000,17500,14113.64,2BHK
Singasandra,17500,45000,24980,3BHK
Yelahanka New Town,5000,8500,6618,1BHK
